DATE	TIME	TZCD	VALUE	PRECISION	REMARK	FLAGS	QA
20120309	150000	CST	0.00	2	 		W
20120309	151500	CST	0.00	2	 		W
20120309	153000	CST	0.00	2	 		W
20120309	154500	CST	0.00	2	 		W
20120309	160000	CST	0.00	2	 		W
20120309	161500	CST	0.00	2	 		W
20120309	163000	CST	0.00	2	 		W
20120309	164500	CST	0.00	2	 		W
20120309	170000	CST	0.00	2	 		W
20120309	171500	CST	0.00	2	 		W
20120309	173000	CST	0.00	2	 		W
20120309	174500	CST	0.00	2	 		W
20120309	180000	CST	0.00	2	 		W
20120309	181500	CST	0.00	2	 		W
20120309	183000	CST	0.00	2	 		W
20120309	184500	CST	0.00	2	 		W
20120309	190000	CST	0.00	2	 		W
20120309	191500	CST	0.00	2	 		W
20120309	193000	CST	0.00	2	 		W
20120309	194500	CST	0.00	2	 		W
20120309	200000	CST	0.00	2	 		W
20120309	201500	CST	0.00	2	 		W
20120309	203000	CST	0.00	2	 		W
20120309	204500	CST	0.00	2	 		W
20120309	210000	CST	0.00	2	 		W
20120309	211500	CST	0.00	2	 		W
20120309	213000	CST	0.00	2	 		W
20120309	214500	CST	0.00	2	 		W
20120309	220000	CST	0.00	2	 		W
20120309	221500	CST	0.00	2	 		W
20120309	223000	CST	0.00	2	 		W
20120309	224500	CST	0.00	2	 		W
20120309	230000	CST	0.00	2	 		W
20120309	231500	CST	0.00	2	 		W
20120309	233000	CST	0.00	2	 		W
20120309	234500	CST	0.00	2	 		W
20120310	000000	CST	0.00	2	 		W
20120310	001500	CST	0.00	2	 		W
20120310	003000	CST	0.00	2	 		W
20120310	004500	CST	0.00	2	 		W
20120310	010000	CST	0.00	2	 		W
20120310	011500	CST	0.00	2	 		W
20120310	013000	CST	0.00	2	 		W
20120310	014500	CST	0.00	2	 		W
20120310	020000	CST	0.00	2	 		W
20120310	021500	CST	0.00	2	 		W
20120310	023000	CST	0.00	2	 		W
20120310	024500	CST	0.00	2	 		W
20120310	030000	CST	0.00	2	 		W
20120310	031500	CST	0.00	2	 		W
20120310	033000	CST	0.00	2	 		W
20120310	034500	CST	0.00	2	 		W
20120310	040000	CST	0.00	2	 		W
20120310	041500	CST	0.00	2	 		W
20120310	043000	CST	0.00	2	 		W
20120310	044500	CST	0.00	2	 		W
20120310	050000	CST	0.00	2	 		W
20120310	051500	CST	0.00	2	 		W
20120310	053000	CST	0.00	2	 		W
20120310	054500	CST	0.00	2	 		W
20120310	060000	CST	0.00	2	 		W
20120310	061500	CST	0.00	2	 		W
20120310	063000	CST	0.00	2	 		W
20120310	064500	CST	0.00	2	 		W
20120310	070000	CST	0.00	2	 		W
20120310	071500	CST	0.00	2	 		W
20120310	073000	CST	0.00	2	 		W
20120310	074500	CST	0.00	2	 		W
20120310	080000	CST	0.00	2	 		W
20120310	081500	CST	0.00	2	 		W
20120310	083000	CST	0.00	2	 		W
20120310	084500	CST	0.00	2	 		W
20120310	090000	CST	0.00	2	 		W
20120310	091500	CST	0.00	2	 		W
20120310	093000	CST	0.00	2	 		W
20120310	094500	CST	0.00	2	 		W
20120310	100000	CST	0.00	2	 		W
20120310	101500	CST	0.00	2	 		W
20120310	103000	CST	0.00	2	 		W
20120310	104500	CST	0.00	2	 		W
20120310	110000	CST	0.00	2	 		W
20120310	111500	CST	0.00	2	 		W
20120310	113000	CST	0.00	2	 		W
20120310	114500	CST	0.00	2	 		W
20120310	120000	CST	0.00	2	 		W
20120310	121500	CST	0.00	2	 		W
20120310	123000	CST	0.00	2	 		W
20120310	124500	CST	0.00	2	 		W
20120310	130000	CST	0.00	2	 		W
20120310	131500	CST	0.00	2	 		W
20120310	133000	CST	0.00	2	 		W
20120310	134500	CST	0.00	2	 		W
20120310	140000	CST	0.00	2	 		W
20120310	141500	CST	0.00	2	 		W
20120310	143000	CST	0.00	2	 		W
20120310	144500	CST	0.00	2	 		W
20120310	150000	CST	0.00	2	 		W
20120310	151500	CST	0.00	2	 		W
20120310	153000	CST	0.00	2	 		W
20120310	154500	CST	0.00	2	 		W
20120310	160000	CST	0.00	2	 		W
20120310	161500	CST	0.00	2	 		W
20120310	163000	CST	0.00	2	 		W
20120310	164500	CST	0.00	2	 		W
20120310	170000	CST	0.00	2	 		W
20120310	171500	CST	0.00	2	 		W
20120310	173000	CST	0.00	2	 		W
20120310	174500	CST	0.00	2	 		W
20120310	180000	CST	0.00	2	 		W
20120310	181500	CST	0.00	2	 		W
20120310	183000	CST	0.00	2	 		W
20120310	184500	CST	0.00	2	 		W
20120310	190000	CST	0.00	2	 		W
20120310	191500	CST	0.00	2	 		W
20120310	193000	CST	0.00	2	 		W
20120310	194500	CST	0.00	2	 		W
20120310	200000	CST	0.00	2	 		W
20120310	201500	CST	0.00	2	 		W
20120310	203000	CST	0.00	2	 		W
20120310	204500	CST	0.00	2	 		W
20120310	210000	CST	0.00	2	 		W
20120310	211500	CST	0.00	2	 		W
20120310	213000	CST	0.00	2	 		W
20120310	214500	CST	0.00	2	 		W
20120310	220000	CST	0.00	2	 		W
20120310	221500	CST	0.00	2	 		W
20120310	223000	CST	0.00	2	 		W
20120310	224500	CST	0.00	2	 		W
20120310	230000	CST	0.00	2	 		W
20120310	231500	CST	0.00	2	 		W
20120310	233000	CST	0.00	2	 		W
20120310	234500	CST	0.00	2	 		W
20120311	000000	CST	0.00	2	 		W
20120311	001500	CST	0.00	2	 		W
20120311	003000	CST	0.00	2	 		W
20120311	004500	CST	0.00	2	 		W
20120311	010000	CST	0.00	2	 		W
20120311	011500	CST	0.00	2	 		W
20120311	013000	CST	0.00	2	 		W
20120311	014500	CST	0.00	2	 		W
20120311	030000	CDT	0.00	2	 		W
20120311	031500	CDT	0.00	2	 		W
20120311	033000	CDT	0.00	2	 		W
20120311	034500	CDT	0.00	2	 		W
20120311	040000	CDT	0.00	2	 		W
20120311	041500	CDT	0.00	2	 		W
20120311	043000	CDT	0.00	2	 		W
20120311	044500	CDT	0.00	2	 		W
20120311	050000	CDT	0.00	2	 		W
20120311	051500	CDT	0.00	2	 		W
20120311	053000	CDT	0.00	2	 		W
20120311	054500	CDT	0.00	2	 		W
20120311	060000	CDT	0.00	2	 		W
20120311	061500	CDT	0.00	2	 		W
20120311	063000	CDT	0.00	2	 		W
20120311	064500	CDT	0.00	2	 		W
20120311	070000	CDT	0.00	2	 		W
